"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"-moz-appearance","unsupported","","","","","","",""
"-moz-binding","unsupported","","","","","","",""
"-moz-border-bottom-colors","unsupported","","","","","","",""
"-moz-border-left-colors","unsupported","","","","","","",""
"-moz-border-right-colors","unsupported","","","","","","",""
"-moz-border-top-colors","unsupported","","","","","","",""
"-moz-context-properties","unsupported","","","","","","",""
"-moz-float-edge","unsupported","","","","","","",""
"-moz-force-broken-image-icon","unsupported","","","","","","",""
"-moz-orient","unsupported","","","","","","",""
"-moz-outline-radius","unsupported","","","","","","",""
"-moz-outline-radius-bottomleft","unsupported","","","","","","",""
"-moz-outline-radius-bottomright","unsupported","","","","","","",""
"-moz-outline-radius-topleft","unsupported","","","","","","",""
"-moz-outline-radius-topright","unsupported","","","","","","",""
"-moz-stack-sizing","unsupported","","","","","","",""
"-moz-text-blink","unsupported","","","","","","",""
"-moz-user-focus","unsupported","","","","","","",""
"-moz-user-input","unsupported","","","","","","",""
"-moz-user-modify","unsupported","","","","","","",""
"-moz-window-dragging","unsupported","","","","","","",""
"-moz-window-shadow","unsupported","","","","","","",""
"-ms-accelerator","unsupported","","","","","","",""
"-ms-block-progression","unsupported","","","","","","",""
"-ms-content-zoom-chaining","unsupported","","","","","","",""
"-ms-content-zoom-limit","unsupported","","","","","","",""
"-ms-content-zoom-limit-max","unsupported","","","","","","",""
"-ms-content-zoom-limit-min","unsupported","","","","","","",""
"-ms-content-zoom-snap","unsupported","","","","","","",""
"-ms-content-zoom-snap-points","unsupported","","","","","","",""
"-ms-content-zoom-snap-type","unsupported","","","","","","",""
"-ms-content-zooming","unsupported","","","","","","",""
"-ms-filter","unsupported","","","","","","",""
"-ms-flow-from","unsupported","","","","","","",""
"-ms-flow-into","unsupported","","","","","","",""
"-ms-grid-columns","unsupported","","","","","","",""
"-ms-grid-rows","unsupported","","","","","","",""
"-ms-high-contrast-adjust","unsupported","","","","","","",""
"-ms-hyphenate-limit-chars","unsupported","","","","","","",""
"-ms-hyphenate-limit-lines","unsupported","","","","","","",""
"-ms-hyphenate-limit-zone","unsupported","","","","","","",""
"-ms-ime-align","unsupported","","","","","","",""
"-ms-overflow-style","unsupported","","","","","","",""
"-ms-scroll-chaining","unsupported","","","","","","",""
"-ms-scroll-limit","unsupported","","","","","","",""
"-ms-scroll-limit-x-max","unsupported","","","","","","",""
"-ms-scroll-limit-x-min","unsupported","","","","","","",""
"-ms-scroll-limit-y-max","unsupported","","","","","","",""
"-ms-scroll-limit-y-min","unsupported","","","","","","",""
"-ms-scroll-rails","unsupported","","","","","","",""
"-ms-scroll-snap-points-x","unsupported","","","","","","",""
"-ms-scroll-snap-points-y","unsupported","","","","","","",""
"-ms-scroll-snap-type","unsupported","","","","","","",""
"-ms-scroll-snap-x","unsupported","","","","","","",""
"-ms-scroll-snap-y","unsupported","","","","","","",""
"-ms-scroll-translation","unsupported","","","","","","",""
"-ms-scrollbar-3dlight-color","unsupported","","","","","","",""
"-ms-scrollbar-arrow-color","unsupported","","","","","","",""
"-ms-scrollbar-base-color","unsupported","","","","","","",""
"-ms-scrollbar-darkshadow-color","unsupported","","","","","","",""
"-ms-scrollbar-face-color","unsupported","","","","","","",""
"-ms-scrollbar-highlight-color","unsupported","","","","","","",""
"-ms-scrollbar-shadow-color","unsupported","","","","","","",""
"-ms-scrollbar-track-color","unsupported","","","","","","",""
"-ms-text-autospace","unsupported","","","","","","",""
"-ms-touch-select","unsupported","","","","","","",""
"-ms-user-select","unsupported","","","","","","",""
"-ms-wrap-flow","unsupported","","","","","","",""
"-ms-wrap-margin","unsupported","","","","","","",""
