"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"-moz-appearance","preserved","button","button","button","button","button","38",""
"-moz-binding","unsupported","","","","","","",""
"-moz-border-bottom-colors","unsupported","","","","","","",""
"-moz-border-left-colors","unsupported","","","","","","",""
"-moz-border-right-colors","unsupported","","","","","","",""
"-moz-border-top-colors","unsupported","","","","","","",""
"-moz-box-align","preserved","center","center","center","center","center","10",""
"-moz-box-direction","preserved","reverse","reverse","reverse","reverse","reverse","5",""
"-moz-box-flex","preserved","2","2","2","2","2","11",""
"-moz-box-ordinal-group","preserved","2","2","2","2","2","8",""
"-moz-box-orient","untested","","","","","","",""
"-moz-box-pack","preserved","center","center","center","center","center","8",""
"-moz-context-properties","unsupported","","","","","","",""
"-moz-float-edge","preserved","margin-box","margin-box","margin-box","margin-box","margin-box","5",""
"-moz-force-broken-image-icon","untested","","","","","","",""
"-moz-orient","preserved","block","block","block","block","block","4",""
"-moz-osx-font-smoothing","untested","","","","","","",""
"-moz-outline-radius","unsupported","","","","","","",""
"-moz-outline-radius-bottomleft","unsupported","","","","","","",""
"-moz-outline-radius-bottomright","unsupported","","","","","","",""
"-moz-outline-radius-topleft","unsupported","","","","","","",""
"-moz-outline-radius-topright","unsupported","","","","","","",""
"-moz-stack-sizing","unsupported","","","","","","",""
"-moz-text-blink","unsupported","","","","","","",""
"-moz-text-size-adjust","preserved","none","none","none","none","none","4",""
"-moz-user-focus","unsupported","","","","","","",""
"-moz-user-input","unsupported","","","","","","",""
"-moz-user-modify","unsupported","","","","","","",""
"-moz-window-dragging","unsupported","","","","","","",""
"-moz-window-shadow","unsupported","","","","","","",""
"-ms-accelerator","unsupported","","","","","","",""
"-ms-block-progression","unsupported","","","","","","",""
"-ms-content-zoom-chaining","unsupported","","","","","","",""
"-ms-content-zoom-limit","unsupported","","","","","","",""
"-ms-content-zoom-limit-max","unsupported","","","","","","",""
"-ms-content-zoom-limit-min","unsupported","","","","","","",""
"-ms-content-zoom-snap","unsupported","","","","","","",""
"-ms-content-zoom-snap-points","unsupported","","","","","","",""
"-ms-content-zoom-snap-type","unsupported","","","","","","",""
"-ms-content-zooming","unsupported","","","","","","",""
"-ms-filter","unsupported","","","","","","",""
"-ms-flow-from","unsupported","","","","","","",""
"-ms-flow-into","unsupported","","","","","","",""
"-ms-grid-columns","unsupported","","","","","","",""
"-ms-grid-rows","unsupported","","","","","","",""
"-ms-high-contrast-adjust","unsupported","","","","","","",""
"-ms-hyphenate-limit-chars","unsupported","","","","","","",""
"-ms-hyphenate-limit-lines","unsupported","","","","","","",""
"-ms-hyphenate-limit-zone","unsupported","","","","","","",""
"-ms-ime-align","unsupported","","","","","","",""
